G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
66,2024-03-15,,,Box Score,@,Utah Jazz,L,,122,124,29,37,C. Capela · J. Johnson · V. Krejci · W. Matthews · D. Murray
67,2024-03-17,,,Box Score,@,Los Angeles Clippers,W,,110,93,30,37,B. Bogdanović · C. Capela · J. Johnson · V. Krejci · D. Murray
68,2024-03-18,,,Box Score,@,Los Angeles Lakers,L,,105,136,30,38,B. Bogdanović · C. Capela · J. Johnson · V. Krejci · D. Murray
69,2024-03-21,,,Box Score,@,Phoenix Suns,L,,115,128,30,39,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
70,2024-03-23,,,Box Score,,Charlotte Hornets,W,,132,91,31,39,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
71,2024-03-25,,,Box Score,,Boston Celtics,W,,120,118,32,39,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
72,2024-03-27,,,Box Score,,Portland Trail Blazers,W,,120,106,33,39,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
73,2024-03-28,,,Box Score,,Boston Celtics,W,OT,123,122,34,39,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
74,2024-03-30,,,Box Score,,Milwaukee Bucks,L,,113,122,34,40,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
75,2024-04-01,,,Box Score,@,Chicago Bulls,W,,113,101,35,40,B. Bogdanović · C. Capela · D. Hunter · V. Krejci · D. Murray
76,2024-04-03,,,Box Score,,Detroit Pistons,W,,121,113,36,40,B. Bogdanović · C. Capela · D. Hunter · J. Johnson · D. Murray
77,2024-04-04,,,Box Score,@,Dallas Mavericks,L,,95,109,36,41,B. Bogdanović · C. Capela · D. Hunter · J. Johnson · D. Murray
78,2024-04-06,,,Box Score,@,Denver Nuggets,L,,110,142,36,42,B. Bogdanović · C. Capela · D. Hunter · J. Johnson · D. Murray
79,2024-04-09,,,Box Score,,Miami Heat,L,2OT,111,117,36,43,B. Bogdanović · C. Capela · D. Hunter · J. Johnson · D. Murray
80,2024-04-10,,,Box Score,,Charlotte Hornets,L,,114,115,36,44,B. Bogdanović · C. Capela · V. Krejci · G. Mathews · T. Young
81,2024-04-12,,,Box Score,@,Minnesota Timberwolves,L,,106,109,36,45,B. Bogdanović · C. Capela · D. Hunter · D. Murray · T. Young
82,2024-04-14,,,Box Score,@,Indiana Pacers,L,,115,157,36,46,B. Bogdanović · B. Fernando · D. Hunter · D. Murray · T. Young
