G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
40,2024-01-14,,,Box Score,,Sacramento Kings,W,OT,143,142,28,12,G. Antetokounmpo · M. Beasley · A. Jackson · D. Lillard · B. Lopez
41,2024-01-17,,,Box Score,@,Cleveland Cavaliers,L,,95,135,28,13,M. Beasley · A. Jackson · D. Lillard · B. Lopez · K. Middleton
42,2024-01-20,,,Box Score,@,Detroit Pistons,W,,141,135,29,13,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
43,2024-01-22,,,Box Score,@,Detroit Pistons,W,,122,113,30,13,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
44,2024-01-24,,,Box Score,,Cleveland Cavaliers,W,,126,116,31,13,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
45,2024-01-26,,,Box Score,,Cleveland Cavaliers,L,,100,112,31,14,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
46,2024-01-27,,,Box Score,,New Orleans Pelicans,W,,141,117,32,14,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
47,2024-01-29,,,Box Score,@,Denver Nuggets,L,,107,113,32,15,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
48,2024-01-31,,,Box Score,@,Portland Trail Blazers,L,,116,119,32,16,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
49,2024-02-03,,,Box Score,@,Dallas Mavericks,W,,129,117,33,16,G. Antetokounmpo · M. Beasley · D. Lillard · R. Lopez · K. Middleton
50,2024-02-04,,,Box Score,@,Utah Jazz,L,,108,123,33,17,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Portis
51,2024-02-06,,,Box Score,@,Phoenix Suns,L,,106,114,33,18,G. Antetokounmpo · M. Beasley · P. Connaughton · R. Lopez · K. Middleton
52,2024-02-08,,,Box Score,,Minnesota Timberwolves,L,,105,129,33,19,G. Antetokounmpo · M. Beasley · P. Connaughton · J. Crowder · B. Lopez
53,2024-02-09,,,Box Score,,Charlotte Hornets,W,,120,84,34,19,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
54,2024-02-12,,,Box Score,,Denver Nuggets,W,,112,95,35,19,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
55,2024-02-13,,,Box Score,,Miami Heat,L,,97,123,35,20,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
56,2024-02-15,,,Box Score,@,Memphis Grizzlies,L,,110,113,35,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
