G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
65,2024-03-12,,,Box Score,@,New York Knicks,L,,79,106,36,29,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
66,2024-03-14,,,Box Score,@,Milwaukee Bucks,L,,105,114,36,30,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
67,2024-03-16,,,Box Score,,Charlotte Hornets,W,,109,98,37,30,M. Bamba · N. Batum · K. Lowry · T. Maxey · K. Oubre
68,2024-03-18,,,Box Score,,Miami Heat,W,,98,91,38,30,M. Bamba · N. Batum · K. Lowry · T. Maxey · K. Oubre
69,2024-03-20,,,Box Score,@,Phoenix Suns,L,,102,115,38,31,M. Bamba · N. Batum · K. Lowry · T. Maxey · K. Oubre
70,2024-03-22,,,Box Score,@,Los Angeles Lakers,L,,94,101,38,32,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
71,2024-03-24,,,Box Score,@,Los Angeles Clippers,W,,121,107,39,32,M. Bamba · T. Harris · B. Hield · T. Maxey · K. Oubre
72,2024-03-25,,,Box Score,@,Sacramento Kings,L,,96,108,39,33,M. Bamba · N. Batum · T. Harris · K. Lowry · T. Maxey
73,2024-03-27,,,Box Score,,Los Angeles Clippers,L,,107,108,39,34,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
74,2024-03-29,,,Box Score,@,Cleveland Cavaliers,L,,114,117,39,35,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
75,2024-03-31,,,Box Score,@,Toronto Raptors,W,,135,120,40,35,M. Bamba · T. Harris · K. Lowry · K. Oubre · C. Payne
76,2024-04-02,,,Box Score,,Oklahoma City Thunder,W,,109,105,41,35,J. Embiid · T. Harris · K. Lowry · K. Oubre · C. Payne
77,2024-04-04,,,Box Score,@,Miami Heat,W,,109,105,42,35,N. Batum · J. Embiid · K. Lowry · T. Maxey · K. Oubre
78,2024-04-06,,,Box Score,@,Memphis Grizzlies,W,,116,96,43,35,N. Batum · J. Embiid · K. Lowry · T. Maxey · K. Oubre
79,2024-04-07,,,Box Score,@,San Antonio Spurs,W,2OT,133,126,44,35,N. Batum · T. Maxey · K. Oubre · C. Payne · P. Reed
80,2024-04-09,,,Box Score,,Detroit Pistons,W,,120,102,45,35,N. Batum · J. Embiid · T. Harris · K. Oubre · C. Payne
81,2024-04-12,,,Box Score,,Orlando Magic,W,,125,113,46,35,J. Embiid · T. Harris · K. Lowry · T. Maxey · K. Oubre
82,2024-04-14,,,Box Score,,Brooklyn Nets,W,,107,86,47,35,M. Bamba · T. Harris · K. Lowry · T. Maxey · K. Oubre
