G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
43,2024-01-24,,,Box Score,,Minnesota Timberwolves,L,,107,118,7,36,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
44,2024-01-25,,,Box Score,,Utah Jazz,L,,108,123,7,37,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
45,2024-01-27,,,Box Score,@,Detroit Pistons,W,,118,104,8,37,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
46,2024-01-29,,,Box Score,@,San Antonio Spurs,W,,118,113,9,37,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
47,2024-01-31,,,Box Score,,Los Angeles Clippers,L,,109,125,9,38,D. Avdija · B. Coulibaly · D. Gafford · T. Jones · K. Kuzma
48,2024-02-02,,,Box Score,,Miami Heat,L,,102,110,9,39,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
49,2024-02-04,,,Box Score,,Phoenix Suns,L,,112,140,9,40,D. Avdija · B. Coulibaly · D. Gafford · T. Jones · J. Poole
50,2024-02-07,,,Box Score,,Cleveland Cavaliers,L,,106,114,9,41,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
51,2024-02-09,,,Box Score,@,Boston Celtics,L,,129,133,9,42,D. Avdija · B. Coulibaly · T. Jones · K. Kuzma · J. Poole
52,2024-02-10,,,Box Score,,Philadelphia 76ers,L,,113,119,9,43,D. Avdija · M. Bagley · T. Jones · K. Kuzma · J. Poole
53,2024-02-12,,,Box Score,@,Dallas Mavericks,L,,104,112,9,44,D. Avdija · M. Bagley · T. Jones · K. Kuzma · J. Poole
54,2024-02-14,,,Box Score,@,New Orleans Pelicans,L,,126,133,9,45,D. Avdija · M. Bagley · B. Coulibaly · T. Jones · J. Poole
55,2024-02-22,,,Box Score,@,Denver Nuggets,L,,110,130,9,46,D. Avdija · M. Bagley · B. Coulibaly · T. Jones · K. Kuzma
56,2024-02-23,,,Box Score,@,Oklahoma City Thunder,L,,106,147,9,47,M. Bagley · B. Coulibaly · T. Jones · K. Kuzma · L. Shamet
57,2024-02-25,,,Box Score,,Cleveland Cavaliers,L,,105,114,9,48,M. Bagley · B. Coulibaly · T. Jones · K. Kuzma · L. Shamet
58,2024-02-27,,,Box Score,,Golden State Warriors,L,,112,123,9,49,M. Bagley · T. Jones · C. Kispert · K. Kuzma · L. Shamet
59,2024-02-29,,,Box Score,@,Los Angeles Lakers,L,OT,131,134,9,50,D. Avdija · M. Bagley · T. Jones · K. Kuzma · L. Shamet
60,2024-03-01,,,Box Score,@,Los Angeles Clippers,L,,115,140,9,51,D. Avdija · M. Bagley · T. Jones · K. Kuzma · L. Shamet
61,2024-03-04,,,Box Score,@,Utah Jazz,L,,115,127,9,52,D. Avdija · M. Bagley · B. Coulibaly · T. Jones · K. Kuzma
62,2024-03-06,,,Box Score,,Orlando Magic,L,,109,119,9,53,D. Avdija · B. Coulibaly · T. Jones · C. Kispert · K. Kuzma
63,2024-03-08,,,Box Score,,Charlotte Hornets,W,,112,100,10,53,D. Avdija · B. Coulibaly · R. Holmes · T. Jones · K. Kuzma
64,2024-03-10,,,Box Score,@,Miami Heat,W,,110,108,11,53,D. Avdija · B. Coulibaly · T. Jones · C. Kispert · K. Kuzma
65,2024-03-12,,,Box Score,@,Memphis Grizzlies,L,,97,109,11,54,D. Avdija · B. Coulibaly · T. Jones · C. Kispert · K. Kuzma
66,2024-03-14,,,Box Score,@,Houston Rockets,L,,119,135,11,55,D. Avdija · B. Coulibaly · T. Jones · C. Kispert · K. Kuzma
67,2024-03-16,,,Box Score,@,Chicago Bulls,L,,98,127,11,56,B. Coulibaly · R. Holmes · C. Kispert · K. Kuzma · J. Poole
68,2024-03-17,,,Box Score,,Boston Celtics,L,,104,130,11,57,P. Baldwin · J. Champagnie · R. Holmes · C. Kispert · J. Poole
69,2024-03-19,,,Box Score,,Houston Rockets,L,,114,137,11,58,P. Baldwin · J. Davis · R. Holmes · C. Kispert · J. Poole
70,2024-03-21,,,Box Score,,Sacramento Kings,W,,109,102,12,58,D. Avdija · R. Holmes · C. Kispert · K. Kuzma · J. Poole
71,2024-03-23,,,Box Score,,Toronto Raptors,W,,112,109,13,58,D. Avdija · R. Holmes · C. Kispert · K. Kuzma · J. Poole
72,2024-03-25,,,Box Score,@,Chicago Bulls,W,,107,105,14,58,P. Baldwin · J. Davis · R. Holmes · C. Kispert · J. Poole
73,2024-03-27,,,Box Score,,Brooklyn Nets,L,OT,119,122,14,59,D. Avdija · R. Holmes · C. Kispert · K. Kuzma · J. Poole
74,2024-03-29,,,Box Score,,Detroit Pistons,L,,87,96,14,60,D. Avdija · M. Bagley · C. Kispert · K. Kuzma · J. Poole
75,2024-03-31,,,Box Score,,Miami Heat,L,,107,119,14,61,D. Avdija · M. Bagley · P. Baldwin · C. Kispert · J. Poole
76,2024-04-02,,,Box Score,,Milwaukee Bucks,W,,117,113,15,61,D. Avdija · M. Bagley · A. Gill · C. Kispert · J. Poole
77,2024-04-03,,,Box Score,,Los Angeles Lakers,L,,120,125,15,62,D. Avdija · C. Kispert · K. Kuzma · J. Poole · T. Vukcevic
78,2024-04-05,,,Box Score,,Portland Trail Blazers,L,,102,108,15,63,D. Avdija · J. Davis · C. Kispert · J. Poole · T. Vukcevic
79,2024-04-07,,,Box Score,@,Toronto Raptors,L,,122,130,15,64,D. Avdija · J. Davis · C. Kispert · J. Poole · T. Vukcevic
80,2024-04-09,,,Box Score,@,Minnesota Timberwolves,L,,121,130,15,65,D. Avdija · P. Baldwin · A. Gill · C. Kispert · J. Poole
81,2024-04-12,,,Box Score,,Chicago Bulls,L,,127,129,15,66,D. Avdija · P. Baldwin · J. Davis · C. Kispert · T. Vukcevic
82,2024-04-14,,,Box Score,@,Boston Celtics,L,,122,132,15,67,D. Avdija · P. Baldwin · J. Davis · A. Gill · C. Kispert
