Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun Feb 14 2021,10:00p,Memphis Grizzlies,124,Sacramento Kings,110,Box Score,,0,2:14,Golden 1 Center,
Mon Feb 15 2021,7:00p,Chicago Bulls,120,Indiana Pacers,112,Box Score,OT,0,2:32,Bankers Life Fieldhouse,
Mon Feb 15 2021,7:00p,Houston Rockets,119,Washington Wizards,131,Box Score,,0,2:17,Capital One Arena,
Mon Feb 15 2021,7:30p,Atlanta Hawks,112,New York Knicks,123,Box Score,,0,2:18,Madison Square Garden (IV),
Mon Feb 15 2021,9:00p,Philadelphia 76ers,123,Utah Jazz,134,Box Score,,3902,2:15,Vivint Smart Home Arena,
Mon Feb 15 2021,10:00p,Cleveland Cavaliers,98,Golden State Warriors,129,Box Score,,,2:13,Chase Center,
Mon Feb 15 2021,10:00p,Miami Heat,118,Los Angeles Clippers,125,Box Score,,0,2:14,STAPLES Center,
Mon Feb 15 2021,10:00p,Brooklyn Nets,136,Sacramento Kings,125,Box Score,,0,2:02,Golden 1 Center,
Tue Feb 16 2021,7:00p,Denver Nuggets,99,Boston Celtics,112,Box Score,,0,2:08,TD Garden,
Tue Feb 16 2021,8:00p,New Orleans Pelicans,144,Memphis Grizzlies,113,Box Score,,1982,2:11,FedEx Forum,
Tue Feb 16 2021,8:00p,Toronto Raptors,124,Milwaukee Bucks,113,Box Score,,250,2:16,Fiserv Forum,
Tue Feb 16 2021,8:00p,Los Angeles Lakers,112,Minnesota Timberwolves,104,Box Score,,0,2:13,Target Center,
Tue Feb 16 2021,8:00p,Portland Trail Blazers,115,Oklahoma City Thunder,104,Box Score,,0,2:07,Chesapeake Energy Arena,
Tue Feb 16 2021,10:30p,Brooklyn Nets,128,Phoenix Suns,124,Box Score,,3181,2:08,Phoenix Suns Arena,
Wed Feb 17 2021,7:00p,New York Knicks,89,Orlando Magic,107,Box Score,,4249,2:04,Amway Center,
Wed Feb 17 2021,7:30p,Atlanta Hawks,122,Boston Celtics,114,Box Score,,0,2:22,TD Garden,
Wed Feb 17 2021,7:30p,Houston Rockets,113,Philadelphia 76ers,118,Box Score,,0,2:23,Wells Fargo Center,
Wed Feb 17 2021,8:00p,Detroit Pistons,102,Chicago Bulls,105,Box Score,,0,2:15,United Center,
Wed Feb 17 2021,8:00p,Indiana Pacers,134,Minnesota Timberwolves,128,Box Score,OT,0,2:35,Target Center,
Wed Feb 17 2021,8:00p,Denver Nuggets,128,Washington Wizards,130,Box Score,,0,2:18,Capital One Arena,
Wed Feb 17 2021,9:00p,Oklahoma City Thunder,113,Memphis Grizzlies,122,Box Score,,0,2:16,FedEx Forum,
Wed Feb 17 2021,9:00p,Portland Trail Blazers,126,New Orleans Pelicans,124,Box Score,,1940,2:15,Smoothie King Center,
Wed Feb 17 2021,10:00p,Miami Heat,112,Golden State Warriors,120,Box Score,OT,,2:30,Chase Center,
Wed Feb 17 2021,10:00p,Utah Jazz,114,Los Angeles Clippers,96,Box Score,,,2:02,STAPLES Center,
Thu Feb 18 2021,7:30p,Toronto Raptors,110,Milwaukee Bucks,96,Box Score,,500,2:29,Fiserv Forum,
Thu Feb 18 2021,10:00p,Brooklyn Nets,109,Los Angeles Lakers,98,Box Score,,0,2:12,STAPLES Center,
Thu Feb 18 2021,10:00p,Miami Heat,118,Sacramento Kings,110,Box Score,,0,2:00,Golden 1 Center,
Fri Feb 19 2021,7:00p,Denver Nuggets,120,Cleveland Cavaliers,103,Box Score,,2720,2:08,Rocket Mortgage Fieldhouse,
Fri Feb 19 2021,7:00p,Golden State Warriors,120,Orlando Magic,124,Box Score,,4287,2:09,Amway Center,
Fri Feb 19 2021,7:30p,Atlanta Hawks,109,Boston Celtics,121,Box Score,,0,2:07,TD Garden,
Fri Feb 19 2021,7:30p,Chicago Bulls,105,Philadelphia 76ers,112,Box Score,,0,2:17,Wells Fargo Center,
Fri Feb 19 2021,8:00p,Detroit Pistons,95,Memphis Grizzlies,109,Box Score,,1795,2:10,FedEx Forum,
Fri Feb 19 2021,8:00p,Oklahoma City Thunder,85,Milwaukee Bucks,98,Box Score,,750,2:09,Fiserv Forum,
Fri Feb 19 2021,8:00p,Phoenix Suns,132,New Orleans Pelicans,114,Box Score,,1940,2:05,Smoothie King Center,
Fri Feb 19 2021,9:00p,Toronto Raptors,86,Minnesota Timberwolves,81,Box Score,,0,2:10,Target Center,
Fri Feb 19 2021,10:00p,Utah Jazz,112,Los Angeles Clippers,116,Box Score,,0,2:25,STAPLES Center,
Sat Feb 20 2021,8:00p,Golden State Warriors,100,Charlotte Hornets,102,Box Score,,0,2:08,Spectrum Center,
Sat Feb 20 2021,8:30p,Miami Heat,96,Los Angeles Lakers,94,Box Score,,0,2:21,STAPLES Center,
Sat Feb 20 2021,9:00p,Sacramento Kings,114,Chicago Bulls,122,Box Score,,0,2:17,United Center,
Sat Feb 20 2021,9:00p,Phoenix Suns,128,Memphis Grizzlies,97,Box Score,,1994,1:57,FedEx Forum,
Sat Feb 20 2021,10:00p,Washington Wizards,118,Portland Trail Blazers,111,Box Score,,0,2:15,Moda Center,
Sun Feb 21 2021,3:30p,Boston Celtics,115,New Orleans Pelicans,120,Box Score,OT,1940,2:59,Smoothie King Center,
Sun Feb 21 2021,7:00p,Oklahoma City Thunder,117,Cleveland Cavaliers,101,Box Score,,2720,2:04,Rocket Mortgage Fieldhouse,
Sun Feb 21 2021,7:00p,Minnesota Timberwolves,99,New York Knicks,103,Box Score,,0,2:23,Madison Square Garden (IV),
Sun Feb 21 2021,7:00p,Detroit Pistons,96,Orlando Magic,105,Box Score,,4002,2:08,Amway Center,
Sun Feb 21 2021,7:00p,Philadelphia 76ers,103,Toronto Raptors,110,Box Score,,0,2:23,Amalie Arena,
Sun Feb 21 2021,7:30p,Denver Nuggets,115,Atlanta Hawks,123,Box Score,,1362,2:15,State Farm Arena,
Sun Feb 21 2021,8:00p,Brooklyn Nets,112,Los Angeles Clippers,108,Box Score,,,2:17,STAPLES Center,
Sun Feb 21 2021,9:00p,Sacramento Kings,115,Milwaukee Bucks,128,Box Score,,1800,2:20,Fiserv Forum,
Mon Feb 22 2021,8:00p,Chicago Bulls,120,Houston Rockets,100,Box Score,,3025,2:03,Toyota Center,
Mon Feb 22 2021,8:30p,Memphis Grizzlies,92,Dallas Mavericks,102,Box Score,,2099,2:08,American Airlines Center,
Mon Feb 22 2021,9:00p,Miami Heat,108,Oklahoma City Thunder,94,Box Score,,0,2:08,Chesapeake Energy Arena,
Mon Feb 22 2021,9:00p,Portland Trail Blazers,100,Phoenix Suns,132,Box Score,,3213,2:01,Phoenix Suns Arena,
Mon Feb 22 2021,9:00p,Charlotte Hornets,110,Utah Jazz,132,Box Score,,3902,2:12,Vivint Smart Home Arena,
Mon Feb 22 2021,10:00p,Washington Wizards,127,Los Angeles Lakers,124,Box Score,OT,0,2:37,STAPLES Center,
Tue Feb 23 2021,7:00p,Atlanta Hawks,111,Cleveland Cavaliers,112,Box Score,,2720,2:07,Rocket Mortgage Fieldhouse,
Tue Feb 23 2021,7:00p,Detroit Pistons,105,Orlando Magic,93,Box Score,,3631,2:04,Amway Center,
Tue Feb 23 2021,7:30p,Sacramento Kings,118,Brooklyn Nets,127,Box Score,,324,2:08,Barclays Center,
Tue Feb 23 2021,7:30p,Boston Celtics,107,Dallas Mavericks,110,Box Score,,3338,2:25,American Airlines Center,
Tue Feb 23 2021,7:30p,Golden State Warriors,114,New York Knicks,106,Box Score,,1981,2:16,Madison Square Garden (IV),
Tue Feb 23 2021,7:30p,Philadelphia 76ers,109,Toronto Raptors,102,Box Score,,0,2:23,Amalie Arena,
Tue Feb 23 2021,8:00p,Minnesota Timberwolves,112,Milwaukee Bucks,139,Box Score,,1800,2:03,Fiserv Forum,
Tue Feb 23 2021,10:00p,Portland Trail Blazers,106,Denver Nuggets,111,Box Score,,0,2:14,Ball Arena,
Tue Feb 23 2021,10:00p,Washington Wizards,116,Los Angeles Clippers,135,Box Score,,0,2:07,STAPLES Center,
Wed Feb 24 2021,7:30p,Boston Celtics,112,Atlanta Hawks,127,Box Score,,1537,2:06,State Farm Arena,
Wed Feb 24 2021,7:30p,Houston Rockets,96,Cleveland Cavaliers,112,Box Score,,2720,1:59,Rocket Mortgage Fieldhouse,
Wed Feb 24 2021,7:30p,Golden State Warriors,111,Indiana Pacers,107,Box Score,,0,2:27,Bankers Life Fieldhouse,
Wed Feb 24 2021,8:00p,Minnesota Timberwolves,126,Chicago Bulls,133,Box Score,OT,0,2:25,United Center,
Wed Feb 24 2021,8:00p,Toronto Raptors,108,Miami Heat,116,Box Score,,0,2:26,AmericanAirlines Arena,
Wed Feb 24 2021,8:00p,Detroit Pistons,118,New Orleans Pelicans,128,Box Score,,2700,2:06,Smoothie King Center,
Wed Feb 24 2021,8:00p,San Antonio Spurs,99,Oklahoma City Thunder,102,Box Score,,0,2:01,Chesapeake Energy Arena,
Wed Feb 24 2021,9:00p,Charlotte Hornets,124,Phoenix Suns,121,Box Score,,3296,2:25,Phoenix Suns Arena,
Wed Feb 24 2021,10:00p,Los Angeles Lakers,89,Utah Jazz,114,Box Score,,4912,2:12,Vivint Smart Home Arena,
Thu Feb 25 2021,7:00p,Dallas Mavericks,97,Philadelphia 76ers,111,Box Score,,0,2:23,Wells Fargo Center,
Thu Feb 25 2021,7:30p,Orlando Magic,92,Brooklyn Nets,129,Box Score,,327,1:54,Barclays Center,
Thu Feb 25 2021,7:30p,Sacramento Kings,121,New York Knicks,140,Box Score,,1981,2:13,Madison Square Garden (IV),
Thu Feb 25 2021,8:00p,Los Angeles Clippers,94,Memphis Grizzlies,122,Box Score,,1896,2:00,FedEx Forum,
Thu Feb 25 2021,9:00p,Washington Wizards,112,Denver Nuggets,110,Box Score,,0,2:07,Ball Arena,
Thu Feb 25 2021,9:30p,New Orleans Pelicans,125,Milwaukee Bucks,129,Box Score,,1800,2:17,Fiserv Forum,
Fri Feb 26 2021,7:30p,Indiana Pacers,112,Boston Celtics,118,Box Score,,0,2:25,TD Garden,
Fri Feb 26 2021,7:30p,Houston Rockets,111,Toronto Raptors,122,Box Score,,0,2:14,Amalie Arena,
Fri Feb 26 2021,8:00p,Phoenix Suns,106,Chicago Bulls,97,Box Score,,0,1:59,United Center,
Fri Feb 26 2021,8:00p,Sacramento Kings,110,Detroit Pistons,107,Box Score,,0,2:35,Little Caesars Arena,
Fri Feb 26 2021,8:00p,Los Angeles Clippers,119,Memphis Grizzlies,99,Box Score,,2039,2:09,FedEx Forum,
Fri Feb 26 2021,8:00p,Utah Jazz,116,Miami Heat,124,Box Score,,0,2:18,AmericanAirlines Arena,
Fri Feb 26 2021,8:00p,Atlanta Hawks,109,Oklahoma City Thunder,118,Box Score,,0,2:04,Chesapeake Energy Arena,
Fri Feb 26 2021,10:00p,Charlotte Hornets,121,Golden State Warriors,130,Box Score,,0,2:18,Chase Center,
Fri Feb 26 2021,10:00p,Portland Trail Blazers,93,Los Angeles Lakers,102,Box Score,,0,2:18,STAPLES Center,
Sat Feb 27 2021,7:00p,Cleveland Cavaliers,112,Philadelphia 76ers,109,Box Score,OT,0,2:37,Wells Fargo Center,
Sat Feb 27 2021,7:00p,Minnesota Timberwolves,112,Washington Wizards,128,Box Score,,0,2:17,Capital One Arena,
Sat Feb 27 2021,8:00p,Indiana Pacers,107,New York Knicks,110,Box Score,,1981,2:16,Madison Square Garden (IV),
Sat Feb 27 2021,8:00p,Denver Nuggets,126,Oklahoma City Thunder,96,Box Score,,0,1:56,Chesapeake Energy Arena,
Sat Feb 27 2021,8:00p,Utah Jazz,124,Orlando Magic,109,Box Score,,4242,2:05,Amway Center,
Sat Feb 27 2021,8:00p,New Orleans Pelicans,114,San Antonio Spurs,117,Box Score,,0,2:17,AT&T Center,
Sat Feb 27 2021,8:30p,Dallas Mavericks,115,Brooklyn Nets,98,Box Score,,684,2:10,Barclays Center,
Sun Feb 28 2021,3:30p,Los Angeles Clippers,100,Milwaukee Bucks,105,Box Score,,1800,2:13,Fiserv Forum,
Sun Feb 28 2021,7:00p,Washington Wizards,110,Boston Celtics,111,Box Score,,0,2:25,TD Garden,
Sun Feb 28 2021,8:00p,New York Knicks,109,Detroit Pistons,90,Box Score,,0,2:03,Little Caesars Arena,
Sun Feb 28 2021,8:00p,Memphis Grizzlies,133,Houston Rockets,84,Box Score,,3284,2:22,Toyota Center,
Sun Feb 28 2021,8:00p,Golden State Warriors,91,Los Angeles Lakers,117,Box Score,,0,2:22,STAPLES Center,
Sun Feb 28 2021,8:00p,Atlanta Hawks,99,Miami Heat,109,Box Score,,0,2:14,AmericanAirlines Arena,
Sun Feb 28 2021,9:00p,Phoenix Suns,118,Minnesota Timberwolves,99,Box Score,,0,2:10,Target Center,
Sun Feb 28 2021,10:00p,Charlotte Hornets,127,Sacramento Kings,126,Box Score,,0,2:28,Golden 1 Center,
