Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed May 12 2021,8:00p,Boston Celtics,94,Cleveland Cavaliers,102,Box Score,,4148,2:07,Rocket Mortgage Fieldhouse,
Wed May 12 2021,9:00p,New Orleans Pelicans,107,Dallas Mavericks,125,Box Score,,4373,2:12,American Airlines Center,
Wed May 12 2021,9:30p,Portland Trail Blazers,105,Utah Jazz,98,Box Score,,6506,2:11,Vivint Smart Home Arena,
Wed May 12 2021,10:30p,Houston Rockets,122,Los Angeles Lakers,124,Box Score,,4087,2:14,STAPLES Center,
Thu May 13 2021,7:00p,Los Angeles Clippers,113,Charlotte Hornets,90,Box Score,,4442,2:04,Spectrum Center,
Thu May 13 2021,7:00p,Milwaukee Bucks,142,Indiana Pacers,133,Box Score,,,2:11,Bankers Life Fieldhouse,
Thu May 13 2021,7:30p,Orlando Magic,93,Atlanta Hawks,116,Box Score,,2910,2:04,State Farm Arena,
Thu May 13 2021,7:30p,Philadelphia 76ers,94,Miami Heat,106,Box Score,,0,2:22,AmericanAirlines Arena,
Thu May 13 2021,7:30p,San Antonio Spurs,98,New York Knicks,102,Box Score,,1981,2:17,Madison Square Garden (IV),
Thu May 13 2021,8:00p,Toronto Raptors,102,Chicago Bulls,114,Box Score,,3395,2:02,United Center,
Thu May 13 2021,8:00p,Sacramento Kings,110,Memphis Grizzlies,116,Box Score,,2876,2:12,FedEx Forum,
Thu May 13 2021,8:00p,Denver Nuggets,114,Minnesota Timberwolves,103,Box Score,,1638,2:08,Target Center,
Thu May 13 2021,10:00p,Portland Trail Blazers,117,Phoenix Suns,118,Box Score,,8359,2:19,Phoenix Suns Arena,
Fri May 14 2021,7:00p,Cleveland Cavaliers,105,Washington Wizards,120,Box Score,,5333,2:09,Capital One Arena,
Fri May 14 2021,8:00p,Denver Nuggets,104,Detroit Pistons,91,Box Score,,750,2:03,Little Caesars Arena,
Fri May 14 2021,8:00p,Utah Jazz,109,Oklahoma City Thunder,93,Box Score,,0,2:05,Chesapeake Energy Arena,
Fri May 14 2021,8:00p,Orlando Magic,97,Philadelphia 76ers,122,Box Score,,5119,2:10,Wells Fargo Center,
Fri May 14 2021,9:00p,Toronto Raptors,110,Dallas Mavericks,114,Box Score,,4493,2:15,American Airlines Center,
Fri May 14 2021,9:00p,Los Angeles Clippers,115,Houston Rockets,122,Box Score,,3803,2:10,Toyota Center,
Fri May 14 2021,9:00p,Sacramento Kings,106,Memphis Grizzlies,107,Box Score,,3502,2:13,FedEx Forum,
Fri May 14 2021,9:30p,New Orleans Pelicans,122,Golden State Warriors,125,Box Score,,4155,2:22,Chase Center,
Sat May 15 2021,1:00p,Chicago Bulls,91,Brooklyn Nets,105,Box Score,,1773,2:00,Barclays Center,
Sat May 15 2021,1:00p,Los Angeles Lakers,122,Indiana Pacers,115,Box Score,,0,2:24,Bankers Life Fieldhouse,
Sat May 15 2021,1:00p,Charlotte Hornets,109,New York Knicks,118,Box Score,OT,1981,2:22,Madison Square Garden (IV),
Sat May 15 2021,2:00p,Boston Celtics,124,Minnesota Timberwolves,108,Box Score,,1638,2:06,Target Center,
Sat May 15 2021,2:00p,Phoenix Suns,140,San Antonio Spurs,103,Box Score,,4848,2:02,AT&T Center,
Sat May 15 2021,8:00p,Miami Heat,108,Milwaukee Bucks,122,Box Score,,3280,2:09,Fiserv Forum,
Sun May 16 2021,1:00p,Boston Celtics,92,New York Knicks,96,Box Score,,1981,2:12,Madison Square Garden (IV),
Sun May 16 2021,1:00p,Indiana Pacers,125,Toronto Raptors,113,Box Score,,0,2:04,Amalie Arena,
Sun May 16 2021,1:00p,Charlotte Hornets,110,Washington Wizards,115,Box Score,,5333,2:18,Capital One Arena,
Sun May 16 2021,2:00p,Phoenix Suns,123,San Antonio Spurs,121,Box Score,,4738,1:59,AT&T Center,
Sun May 16 2021,3:30p,Memphis Grizzlies,101,Golden State Warriors,113,Box Score,,4416,2:23,Chase Center,
Sun May 16 2021,7:00p,Houston Rockets,95,Atlanta Hawks,124,Box Score,,3045,2:00,State Farm Arena,
Sun May 16 2021,7:00p,Cleveland Cavaliers,109,Brooklyn Nets,123,Box Score,,1773,1:57,Barclays Center,
Sun May 16 2021,7:00p,Orlando Magic,117,Philadelphia 76ers,128,Box Score,,5119,2:12,Wells Fargo Center,
Sun May 16 2021,8:00p,Miami Heat,120,Detroit Pistons,107,Box Score,,750,2:08,Little Caesars Arena,
Sun May 16 2021,9:00p,Milwaukee Bucks,112,Chicago Bulls,118,Box Score,,3427,2:12,United Center,
Sun May 16 2021,9:00p,Dallas Mavericks,121,Minnesota Timberwolves,136,Box Score,,1638,2:12,Target Center,
Sun May 16 2021,9:00p,Los Angeles Lakers,110,New Orleans Pelicans,98,Box Score,,3700,2:12,Smoothie King Center,
Sun May 16 2021,9:00p,Los Angeles Clippers,112,Oklahoma City Thunder,117,Box Score,,0,1:59,Chesapeake Energy Arena,
Sun May 16 2021,9:00p,Denver Nuggets,116,Portland Trail Blazers,132,Box Score,,1939,2:02,Moda Center,
Sun May 16 2021,9:00p,Utah Jazz,121,Sacramento Kings,99,Box Score,,0,2:05,Golden 1 Center,
