Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Jan 16 2021,10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,Box Score,,0,2:18,Moda Center,
Sun Jan 17 2021,1:00p,New York Knicks,105,Boston Celtics,75,Box Score,,0,2:14,TD Garden,
Sun Jan 17 2021,3:00p,Chicago Bulls,117,Dallas Mavericks,101,Box Score,,0,2:13,American Airlines Center,
Sun Jan 17 2021,8:00p,Utah Jazz,109,Denver Nuggets,105,Box Score,,0,2:17,Ball Arena,
Sun Jan 17 2021,9:00p,New Orleans Pelicans,128,Sacramento Kings,123,Box Score,,0,2:22,Golden 1 Center,
Sun Jan 17 2021,10:00p,Indiana Pacers,96,Los Angeles Clippers,129,Box Score,,0,2:07,STAPLES Center,
Mon Jan 18 2021,12:00p,Orlando Magic,84,New York Knicks,91,Box Score,,0,2:13,Madison Square Garden (IV),
Mon Jan 18 2021,2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,Box Score,,0,2:13,State Farm Arena,
Mon Jan 18 2021,3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,Box Score,,0,2:04,Moda Center,
Mon Jan 18 2021,5:00p,Phoenix Suns,104,Memphis Grizzlies,108,Box Score,,204,2:18,FedEx Forum,
Mon Jan 18 2021,7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,Box Score,,0,2:16,Barclays Center,
Mon Jan 18 2021,7:30p,Dallas Mavericks,93,Toronto Raptors,116,Box Score,,0,2:14,Amalie Arena,
Mon Jan 18 2021,8:00p,Houston Rockets,120,Chicago Bulls,125,Box Score,,0,2:13,United Center,
Mon Jan 18 2021,8:00p,Detroit Pistons,107,Miami Heat,113,Box Score,,0,2:25,AmericanAirlines Arena,
Mon Jan 18 2021,10:00p,Golden State Warriors,115,Los Angeles Lakers,113,Box Score,,0,2:29,STAPLES Center,
Tue Jan 19 2021,9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,Box Score,,0,1:59,Ball Arena,
Tue Jan 19 2021,9:00p,New Orleans Pelicans,102,Utah Jazz,118,Box Score,,1932,2:05,Vivint Smart Home Arena,
Wed Jan 20 2021,7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,Box Score,2OT,1944,2:39,Rocket Mortgage Fieldhouse,
Wed Jan 20 2021,7:00p,Dallas Mavericks,124,Indiana Pacers,112,Box Score,,0,2:09,Bankers Life Fieldhouse,
Wed Jan 20 2021,7:00p,Boston Celtics,109,Philadelphia 76ers,117,Box Score,,0,2:26,Wells Fargo Center,
Wed Jan 20 2021,7:30p,Detroit Pistons,115,Atlanta Hawks,123,Box Score,OT,0,2:33,State Farm Arena,
Wed Jan 20 2021,7:30p,Miami Heat,111,Toronto Raptors,102,Box Score,,0,2:13,Amalie Arena,
Wed Jan 20 2021,8:00p,Orlando Magic,97,Minnesota Timberwolves,96,Box Score,,0,2:15,Target Center,
Wed Jan 20 2021,9:30p,Phoenix Suns,109,Houston Rockets,103,Box Score,,3022,2:22,Toyota Center,
Wed Jan 20 2021,10:00p,San Antonio Spurs,99,Golden State Warriors,121,Box Score,,0,2:09,Chase Center,
Wed Jan 20 2021,10:00p,Sacramento Kings,96,Los Angeles Clippers,115,Box Score,,0,2:02,STAPLES Center,
Thu Jan 21 2021,7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,Box Score,,0,2:16,Fiserv Forum,
