Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Mar 12 2021,10:00p,Houston Rockets,99,Utah Jazz,114,Box Score,,5546,2:14,Vivint Smart Home Arena,
Fri Mar 12 2021,10:30p,Indiana Pacers,100,Los Angeles Lakers,105,Box Score,,0,2:20,STAPLES Center,
Sat Mar 13 2021,2:00p,New York Knicks,119,Oklahoma City Thunder,97,Box Score,,0,2:07,Chesapeake Energy Arena,
Sat Mar 13 2021,7:00p,Detroit Pistons,95,Brooklyn Nets,100,Box Score,,1364,2:11,Barclays Center,
Sat Mar 13 2021,7:00p,Toronto Raptors,104,Charlotte Hornets,114,Box Score,,2861,2:17,Spectrum Center,
Sat Mar 13 2021,7:00p,Milwaukee Bucks,125,Washington Wizards,119,Box Score,,0,2:15,Capital One Arena,
Sat Mar 13 2021,7:30p,Sacramento Kings,106,Atlanta Hawks,121,Box Score,,2347,2:14,State Farm Arena,
Sat Mar 13 2021,8:00p,Portland Trail Blazers,125,Minnesota Timberwolves,121,Box Score,,0,2:27,Target Center,
Sat Mar 13 2021,10:00p,Dallas Mavericks,116,Denver Nuggets,103,Box Score,,0,2:11,Ball Arena,
Sat Mar 13 2021,10:00p,Indiana Pacers,122,Phoenix Suns,111,Box Score,,3166,2:03,Phoenix Suns Arena,
Sun Mar 14 2021,2:00p,Memphis Grizzlies,122,Oklahoma City Thunder,128,Box Score,,0,2:16,Chesapeake Energy Arena,
Sun Mar 14 2021,4:00p,Utah Jazz,119,Golden State Warriors,131,Box Score,,0,2:15,Chase Center,
Sun Mar 14 2021,6:30p,San Antonio Spurs,99,Philadelphia 76ers,134,Box Score,,3071,2:08,Wells Fargo Center,
Sun Mar 14 2021,7:00p,Miami Heat,102,Orlando Magic,97,Box Score,,3264,2:07,Amway Center,
Sun Mar 14 2021,7:30p,Cleveland Cavaliers,82,Atlanta Hawks,100,Box Score,,2322,2:10,State Farm Arena,
Sun Mar 14 2021,8:00p,Boston Celtics,134,Houston Rockets,107,Box Score,,3264,2:07,Toyota Center,
Sun Mar 14 2021,8:00p,Portland Trail Blazers,112,Minnesota Timberwolves,114,Box Score,,0,2:23,Target Center,
Sun Mar 14 2021,9:00p,Toronto Raptors,95,Chicago Bulls,118,Box Score,,0,2:08,United Center,
Sun Mar 14 2021,9:00p,Los Angeles Clippers,115,New Orleans Pelicans,135,Box Score,,3700,2:09,Smoothie King Center,
Mon Mar 15 2021,7:00p,Sacramento Kings,116,Charlotte Hornets,122,Box Score,,2861,2:15,Spectrum Center,
Mon Mar 15 2021,7:00p,Milwaukee Bucks,133,Washington Wizards,122,Box Score,,0,2:10,Capital One Arena,
Mon Mar 15 2021,8:00p,New York Knicks,112,Brooklyn Nets,117,Box Score,,1637,2:30,Barclays Center,
Mon Mar 15 2021,8:00p,San Antonio Spurs,109,Detroit Pistons,99,Box Score,,0,2:00,Little Caesars Arena,
Mon Mar 15 2021,9:00p,Los Angeles Clippers,109,Dallas Mavericks,99,Box Score,,3945,1:59,American Airlines Center,
Mon Mar 15 2021,10:00p,Indiana Pacers,106,Denver Nuggets,121,Box Score,,0,2:09,Ball Arena,
Mon Mar 15 2021,10:00p,Memphis Grizzlies,99,Phoenix Suns,122,Box Score,,3188,2:01,Phoenix Suns Arena,
Mon Mar 15 2021,10:30p,Los Angeles Lakers,128,Golden State Warriors,97,Box Score,,0,2:18,Chase Center,
Tue Mar 16 2021,7:30p,Utah Jazz,117,Boston Celtics,109,Box Score,,0,2:16,TD Garden,
Tue Mar 16 2021,8:00p,Oklahoma City Thunder,102,Chicago Bulls,123,Box Score,,0,2:04,United Center,
Tue Mar 16 2021,8:00p,Atlanta Hawks,119,Houston Rockets,107,Box Score,,3069,1:59,Toyota Center,
Tue Mar 16 2021,8:00p,Cleveland Cavaliers,98,Miami Heat,113,Box Score,,0,2:08,AmericanAirlines Arena,
Tue Mar 16 2021,8:00p,New York Knicks,96,Philadelphia 76ers,99,Box Score,,3071,2:18,Wells Fargo Center,
Tue Mar 16 2021,10:00p,New Orleans Pelicans,124,Portland Trail Blazers,125,Box Score,,0,2:23,Moda Center,
Tue Mar 16 2021,10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,137,Box Score,,0,2:12,STAPLES Center,
Wed Mar 17 2021,7:00p,Toronto Raptors,112,Detroit Pistons,116,Box Score,,750,2:34,Little Caesars Arena,
Wed Mar 17 2021,7:00p,Brooklyn Nets,124,Indiana Pacers,115,Box Score,,0,2:26,Bankers Life Fieldhouse,
Wed Mar 17 2021,7:00p,Milwaukee Bucks,109,Philadelphia 76ers,105,Box Score,OT,3071,2:37,Wells Fargo Center,
Wed Mar 17 2021,7:00p,Sacramento Kings,121,Washington Wizards,119,Box Score,,0,2:22,Capital One Arena,
Wed Mar 17 2021,8:00p,San Antonio Spurs,106,Chicago Bulls,99,Box Score,,0,2:09,United Center,
Wed Mar 17 2021,8:00p,Boston Celtics,110,Cleveland Cavaliers,117,Box Score,,4100,2:20,Rocket Mortgage Fieldhouse,
Wed Mar 17 2021,8:00p,Golden State Warriors,108,Houston Rockets,94,Box Score,,3259,2:10,Toyota Center,
Wed Mar 17 2021,9:00p,Charlotte Hornets,104,Denver Nuggets,129,Box Score,,0,2:01,Ball Arena,
Wed Mar 17 2021,9:00p,Miami Heat,85,Memphis Grizzlies,89,Box Score,,2217,2:16,FedEx Forum,
Wed Mar 17 2021,9:30p,Los Angeles Clippers,89,Dallas Mavericks,105,Box Score,,3975,2:15,American Airlines Center,
Thu Mar 18 2021,7:00p,Utah Jazz,122,Washington Wizards,131,Box Score,,0,2:23,Capital One Arena,
Thu Mar 18 2021,7:30p,Oklahoma City Thunder,93,Atlanta Hawks,116,Box Score,,2621,1:58,State Farm Arena,
Thu Mar 18 2021,7:30p,Orlando Magic,93,New York Knicks,94,Box Score,,1531,2:04,Madison Square Garden (IV),
Thu Mar 18 2021,10:00p,Minnesota Timberwolves,123,Phoenix Suns,119,Box Score,,3172,2:16,Phoenix Suns Arena,
Thu Mar 18 2021,10:00p,New Orleans Pelicans,93,Portland Trail Blazers,101,Box Score,,0,2:14,Moda Center,
Thu Mar 18 2021,10:30p,Charlotte Hornets,105,Los Angeles Lakers,116,Box Score,,0,2:17,STAPLES Center,
Fri Mar 19 2021,7:30p,Sacramento Kings,107,Boston Celtics,96,Box Score,,0,2:05,TD Garden,
Fri Mar 19 2021,7:30p,San Antonio Spurs,116,Cleveland Cavaliers,110,Box Score,,0,2:21,Rocket Mortgage Fieldhouse,
Fri Mar 19 2021,8:00p,Detroit Pistons,113,Houston Rockets,100,Box Score,,3061,2:06,Toyota Center,
Fri Mar 19 2021,8:00p,Golden State Warriors,116,Memphis Grizzlies,103,Box Score,,2716,2:13,FedEx Forum,
Fri Mar 19 2021,8:00p,Indiana Pacers,137,Miami Heat,110,Box Score,,0,2:07,AmericanAirlines Arena,
Fri Mar 19 2021,8:00p,Brooklyn Nets,113,Orlando Magic,121,Box Score,,3665,2:03,Amway Center,
Fri Mar 19 2021,8:00p,Utah Jazz,115,Toronto Raptors,112,Box Score,,0,2:24,Amalie Arena,
Fri Mar 19 2021,9:00p,Chicago Bulls,127,Denver Nuggets,131,Box Score,OT,0,2:31,Ball Arena,
Fri Mar 19 2021,10:00p,Minnesota Timberwolves,101,Phoenix Suns,113,Box Score,,3124,,Phoenix Suns Arena,
